Record;[0]\[3];[3]\[0]
1;DoorMarker [STAT:00000001];MarkerTeleport.nif
2;TravelMarker [STAT:00000002];Marker_Travel.nif
3;NorthMarker [STAT:00000003];Marker_North.nif
5;DivineMarker [STAT:00000005];Marker_Divine.nif
6;TempleMarker [STAT:00000006];Marker_Temple.nif
16;MapMarker [STAT:00000010];Marker_Map.NIF
18;HorseMarker [STAT:00000012];Marker_Horse.nif
21;MultiBoundMarker [STAT:00000015];90.000000
23;PlaneMarker [STAT:00000017];90.000000
31;RoomMarker [STAT:0000001F];90.000000
32;PortalMarker [STAT:00000020];90.000000
33;CollisionMarker [STAT:00000021];90.000000
50;COCMarkerHeading [STAT:00000032];MarkerCOCHeading.nif
51;RadiationMarker [STAT:00000033];Marker_Radiation.nif
52;XMarkerHeading [STAT:00000034];MarkerXHeading.nif
59;XMarker [STAT:0000003B];MarkerX.nif
100;FurnitureMarker01Sit [STAT:00000064];Furniture\FurnitureMarkerSit.nif
101;FurnitureMarker02Lay [STAT:00000065];Furniture\FurnitureMarkerLay.nif
102;FurnitureMarker03Lean [STAT:00000066];Furniture\FurnitureMarkerLean.nif
103;FurnitureMarker04 [STAT:00000067];90.000000
2118;Farmhouse02 [STAT:00000846];Architecture\Farmhouse\Farmhouse02.NIF
2122;Farmhouse01 [STAT:0000084A];Architecture\Farmhouse\Farmhouse01.NIF
2214;FenceWoven01 [STAT:000008A6];Architecture\Farmhouse\FenceWoven01.NIF
2215;FenceWoven02 [STAT:000008A7];Architecture\Farmhouse\FenceWoven02.NIF
2459;Stonewall01 [STAT:0000099B];Architecture\Farmhouse\Stonewall\Stonewall01.NIF
2460;Stonewall01Ivy [STAT:0000099C];Architecture\Farmhouse\Stonewall\Stonewall01Ivy.NIF
2461;Stonewall02 [STAT:0000099D];Architecture\Farmhouse\Stonewall\Stonewall02.NIF
2462;StonewallEndL01 [STAT:0000099E];Architecture\Farmhouse\Stonewall\StonewallEndL01.NIF
2463;StonewallEndL01Ivy [STAT:0000099F];Architecture\Farmhouse\Stonewall\StonewallEndL01Ivy.NIF
2464;StonewallEndR01 [STAT:000009A0];Architecture\Farmhouse\Stonewall\StonewallEndR01.NIF
2465;StonewallEndR01Ivy [STAT:000009A1];Architecture\Farmhouse\Stonewall\StonewallEndR01Ivy.NIF
2466;StonewallLong01 [STAT:000009A2];Architecture\Farmhouse\Stonewall\StonewallLong01.NIF
2502;StonewallTerrace01 [STAT:000009C6];Architecture\Farmhouse\Stonewall\StonewallTerrace01.NIF
2508;StonewallTerraceLong01 [STAT:000009CC];Architecture\Farmhouse\Stonewall\StonewallTerraceLong01.NIF
2512;StonewallTerraceStairs01 [STAT:000009D0];Architecture\Farmhouse\Stonewall\StonewallTerraceStairs01.NIF
2667;StonewallTerraceLong02 [STAT:00000A6B];Architecture\Farmhouse\Stonewall\StonewallTerraceLong02.NIF
2668;StonewallTerrace02 [STAT:00000A6C];Architecture\Farmhouse\Stonewall\StonewallTerrace02.NIF
2672;StonewallTerraceEndL01 [STAT:00000A70];Architecture\Farmhouse\Stonewall\StonewallTerraceEndL01.NIF
2673;StonewallTerraceRampDown01 [STAT:00000A71];Architecture\Farmhouse\Stonewall\StonewallTerraceRampDown01.NIF
2674;StonewallTerraceRampUp01 [STAT:00000A72];Architecture\Farmhouse\Stonewall\StonewallTerraceRampUp01.NIF
2675;StonewallTerraceEndR01 [STAT:00000A73];Architecture\Farmhouse\Stonewall\StonewallTerraceEndR01.NIF
2676;StonewallTerraceCorner01 [STAT:00000A74];Architecture\Farmhouse\Stonewall\StonewallTerraceCorner01.NIF
77913;GenKitHallSm3way01 [STAT:00013059];Dungeons\GenKit\GenKitHallSm3way01.nif
77914;GenKitHallSm4way01 [STAT:0001305A];Dungeons\GenKit\GenKitHallSm4way01.nif
77915;GenKitRmCorIn01 [STAT:0001305B];Dungeons\GenKit\GenKitRmCorIn01.nif
77916;GenKitRmCorInExSmL01 [STAT:0001305C];Dungeons\GenKit\GenKitRmCorInExSmL01.nif
77917;GenKitRmCorInExSmR01 [STAT:0001305D];Dungeons\GenKit\GenKitRmCorInExSmR01.nif
77918;GenKitRmCorOut01 [STAT:0001305E];Dungeons\GenKit\GenKitRmCorOut01.nif
77919;GenKitRmMid01 [STAT:0001305F];Dungeons\GenKit\GenKitRmMid01.nif
77920;GenKitRmWall01 [STAT:00013060];Dungeons\GenKit\GenKitRmWall01.nif
77921;GenKitRmWallExSm01 [STAT:00013061];Dungeons\GenKit\GenKitRmWallExSm01.nif
77922;GenKitHallSm1way01 [STAT:00013062];Dungeons\GenKit\GenKitHallSm1way01.nif
77923;GenKitHallSm1wayExSm01 [STAT:00013063];Dungeons\GenKit\GenKitHallSm1wayExSm01.nif
77924;GenKitHallSm1wayExSmDbl01 [STAT:00013064];Dungeons\GenKit\GenKitHallSm1wayExSmDbl01.nif
77925;GenKitHallSm1wayExSmEnd01 [STAT:00013065];Dungeons\GenKit\GenKitHallSm1wayExSmEnd01.nif
77926;GenKitHallSm2way01 [STAT:00013066];Dungeons\GenKit\GenKitHallSm2way01.nif
77946;Farmhouse03 [STAT:0001307A];Architecture\Farmhouse\Farmhouse03.nif
77947;Farmhouse04 [STAT:0001307B];Architecture\Farmhouse\Farmhouse04.nif
78013;GenKitHallSm1wayStair256 [STAT:000130BD];Dungeons\GenKit\GenKitHallSm1wayStair256.nif
78014;GenKitRmStairWallL384 [STAT:000130BE];Dungeons\GenKit\GenKitRmStairWallL384.nif
78015;GenKitRmStairMid384 [STAT:000130BF];Dungeons\GenKit\GenKitRmStairMid384.nif
78016;GenKitRmStairWallR384 [STAT:000130C0];Dungeons\GenKit\GenKitRmStairWallR384.nif
78017;GenKitHallSm1wayStair128 [STAT:000130C1];Dungeons\GenKit\GenKitHallSm1wayStair128.nif
160;AnimInteractionMarker [STAT:000000A0];MarkerTeleport.nif
78416;TreePineForestLog01 [STAT:00013250];Landscape\Trees\TreePineForestLog01.nif
78417;TreePineForestStump01 [STAT:00013251];Landscape\Trees\TreePineForestStump01.nif
78588;NorHallSm2way01 [STAT:000132FC];Dungeons\Nordic\SmHalls\NorHallSm2way01.nif
78589;NorHallSm1way01 [STAT:000132FD];Dungeons\Nordic\SmHalls\NorHallSm1way01.nif
78595;DirtCliffs01 [STAT:00013303];Landscape\DirtCliffs\DirtCliffs01.nif
79330;DirtCliffs02 [STAT:000135E2];Landscape\DirtCliffs\DirtCliffs02.nif
79592;TreePineForestLog02 [STAT:000136E8];Landscape\Trees\TreePineForestLog02.nif
79872;TreePineForestStump02A [STAT:00013800];Landscape\Trees\TreePineForestStump02A.nif
79873;TreePineForestStump02B [STAT:00013801];Landscape\Trees\TreePineForestStump02B.nif
79893;NorHallSm1wayEndExSm01 [STAT:00013815];Dungeons\Nordic\SmHalls\NorHallSm1wayEndExSm01.nif
79894;NorHallSm2way02 [STAT:00013816];Dungeons\Nordic\SmHalls\NorHallSm2way02.nif
79895;NorHallSm3way01 [STAT:00013817];Dungeons\Nordic\SmHalls\NorHallSm3way01.nif
79901;NorHallSm4way01 [STAT:0001381D];Dungeons\Nordic\SmHalls\NorHallSm4way01.nif
79948;NorHallSm1wayEndCap01 [STAT:0001384C];Dungeons\Nordic\SmHalls\NorHallSm1wayEndCap01.nif
79949;NorHallSm1wayExSmDbl01 [STAT:0001384D];Dungeons\Nordic\SmHalls\NorHallSm1wayExSmDbl01.nif
79950;NorHallSm1wayExSm01 [STAT:0001384E];Dungeons\Nordic\SmHalls\NorHallSm1wayExSm01.nif
79951;NorHallSm1wayStairs128 [STAT:0001384F];Dungeons\Nordic\SmHalls\NorHallSm1wayStairs128.nif
80064;DragonMarker [STAT:000138C0];Markers\Marker_DragonLanding.nif
80065;NorHallBg1way01 [STAT:000138C1];Dungeons\Nordic\BgHalls\NorHallBg1way01.nif
80244;DirtCliffsIsland01 [STAT:00013974];Landscape\DirtCliffs\DirtCliffsIsland01.nif
80246;DirtCliffsCornerIn01 [STAT:00013976];Landscape\DirtCliffs\DirtCliffsCornerIn01.nif
80475;DirtCliffsCornerOut01 [STAT:00013A5B];Landscape\DirtCliffs\DirtCliffsCornerOut01.nif
80635;NorHallBg2way01 [STAT:00013AFB];Dungeons\Nordic\BgHalls\NorHallBg2way01.nif
80647;NorHallBg3way01 [STAT:00013B07];Dungeons\Nordic\BgHalls\NorHallBg3way01.nif
80648;NorHallBg4way01 [STAT:00013B08];Dungeons\Nordic\BgHalls\NorHallBg4way01.nif
